Epoch,Many,Medium,Low,Overall
0,0.2844,0,nan,0.1991
1,0.2669,0,nan,0.1868
2,0.3111,0,nan,0.2178
3,0.313,0,nan,0.2191
4,0.3153,0,nan,0.2207
5,0.3264,0,nan,0.2285
6,0.3637,0,nan,0.2546
7,0.3251,0,nan,0.2276
8,0.4081,0,nan,0.2857
9,0.4456,0,nan,0.3119
10,0.4311,0,nan,0.3018
11,0.4783,0,nan,0.3348
12,0.369,0,nan,0.2583
13,0.4541,0,nan,0.3179
14,0.5141,0,nan,0.3599
15,0.5324,0,nan,0.3727
16,0.496,0,nan,0.3472
17,0.4133,0.0013,nan,0.2897
18,0.522,0,nan,0.3654
19,0.5194,0,nan,0.3636
20,0.5307,0.021,nan,0.3778
21,0.5649,0.0397,nan,0.4073
22,0.6477,0.013,nan,0.4573
23,0.6157,0.033,nan,0.4409
24,0.5414,0.0507,nan,0.3942
25,0.546,0.083,nan,0.4071
26,0.5736,0.0267,nan,0.4095
27,0.6359,0.0883,nan,0.4716
28,0.4814,0.081,nan,0.3613
29,0.5566,0.082,nan,0.4142
30,0.6049,0.0317,nan,0.4329
31,0.57,0.0577,nan,0.4163
32,0.6377,0.159,nan,0.4941
33,0.6441,0.1633,nan,0.4999
34,0.5446,0.071,nan,0.4025
35,0.6384,0.1783,nan,0.5004
36,0.5403,0.021,nan,0.3845
37,0.6277,0.126,nan,0.4772
38,0.6059,0.1727,nan,0.4759
39,0.6093,0.017,nan,0.4316
40,0.5937,0.091,nan,0.4429
41,0.6181,0.119,nan,0.4684
42,0.609,0.0553,nan,0.4429
43,0.6559,0.089,nan,0.4858
44,0.5319,0.091,nan,0.3996
45,0.6116,0.0977,nan,0.4574
46,0.6214,0.137,nan,0.4761
47,0.5384,0.1253,nan,0.4145
48,0.5809,0.3087,nan,0.4992
49,0.7,0.1513,nan,0.5354
50,0.6713,0.0583,nan,0.4874
51,0.5171,0.0703,nan,0.3831
52,0.542,0.092,nan,0.407
53,0.5686,0.132,nan,0.4376
54,0.5466,0.092,nan,0.4102
55,0.6036,0.2333,nan,0.4925
56,0.6249,0.1627,nan,0.4862
57,0.6516,0.1653,nan,0.5057
58,0.6363,0.0867,nan,0.4714
59,0.4676,0.179,nan,0.381
60,0.5536,0.481,nan,0.5318
61,0.6393,0.2007,nan,0.5077
62,0.5107,0.088,nan,0.3839
63,0.7084,0.1893,nan,0.5527
64,0.6904,0.221,nan,0.5496
65,0.6254,0.1803,nan,0.4919
66,0.6531,0.152,nan,0.5028
67,0.6569,0.1117,nan,0.4933
68,0.7123,0.2767,nan,0.5816
69,0.5856,0.0943,nan,0.4382
70,0.6753,0.0917,nan,0.5002
71,0.6766,0.2197,nan,0.5395
72,0.63,0.291,nan,0.5283
73,0.6707,0.1613,nan,0.5179
74,0.685,0.262,nan,0.5581
75,0.6744,0.1067,nan,0.5041
76,0.7541,0.2513,nan,0.6033
77,0.6427,0.076,nan,0.4727
78,0.6203,0.0473,nan,0.4484
79,0.6374,0.277,nan,0.5293
80,0.514,0.102,nan,0.3904
81,0.659,0.1163,nan,0.4962
82,0.602,0.1487,nan,0.466
83,0.6627,0.2217,nan,0.5304
84,0.6984,0.2163,nan,0.5538
85,0.6577,0.1063,nan,0.4923
86,0.6489,0.1033,nan,0.4852
87,0.6534,0.247,nan,0.5315
88,0.7279,0.1357,nan,0.5502
89,0.5544,0.2333,nan,0.4581
90,0.6263,0.236,nan,0.5092
91,0.671,0.1957,nan,0.5284
92,0.6943,0.531,nan,0.6453
93,0.6711,0.4343,nan,0.6001
94,0.5166,0.238,nan,0.433
95,0.6033,0.4863,nan,0.5682
96,0.6167,0.332,nan,0.5313
97,0.5783,0.1607,nan,0.453
98,0.6083,0.1207,nan,0.462
99,0.6899,0.3957,nan,0.6016
100,0.681,0.1693,nan,0.5275
101,0.626,0.1673,nan,0.4884
102,0.6969,0.2407,nan,0.56
103,0.6817,0.245,nan,0.5507
104,0.5556,0.5853,nan,0.5645
105,0.5844,0.424,nan,0.5363
106,0.6066,0.2477,nan,0.4989
107,0.649,0.2347,nan,0.5247
108,0.6676,0.1563,nan,0.5142
109,0.6187,0.3643,nan,0.5424
110,0.67,0.4033,nan,0.59
111,0.6126,0.2757,nan,0.5115
112,0.6501,0.234,nan,0.5253
113,0.5544,0.1177,nan,0.4234
114,0.5961,0.2657,nan,0.497
115,0.6209,0.1837,nan,0.4897
116,0.6811,0.215,nan,0.5413
117,0.6237,0.2973,nan,0.5258
118,0.6784,0.2533,nan,0.5509
119,0.6231,0.1833,nan,0.4912
120,0.51,0.1283,nan,0.3955
121,0.7083,0.2703,nan,0.5769
122,0.7654,0.1027,nan,0.5666
123,0.5681,0.3313,nan,0.4971
124,0.6281,0.2603,nan,0.5178
125,0.6301,0.444,nan,0.5743
126,0.711,0.3653,nan,0.6073
127,0.6824,0.355,nan,0.5842
128,0.7337,0.329,nan,0.6123
129,0.6806,0.2613,nan,0.5548
130,0.6329,0.3087,nan,0.5356
131,0.6299,0.2707,nan,0.5221
132,0.681,0.4027,nan,0.5975
133,0.6269,0.3497,nan,0.5437
134,0.6481,0.298,nan,0.5431
135,0.6304,0.4803,nan,0.5854
136,0.6806,0.3963,nan,0.5953
137,0.6604,0.227,nan,0.5304
138,0.601,0.435,nan,0.5512
139,0.6381,0.21,nan,0.5097
140,0.6054,0.2463,nan,0.4977
141,0.621,0.1727,nan,0.4865
142,0.6824,0.2507,nan,0.5529
143,0.6363,0.2843,nan,0.5307
144,0.6081,0.1213,nan,0.4621
145,0.6861,0.1497,nan,0.5252
146,0.6467,0.182,nan,0.5073
147,0.6306,0.276,nan,0.5242
148,0.6944,0.2047,nan,0.5475
149,0.6087,0.2493,nan,0.5009
150,0.5981,0.2327,nan,0.4885
151,0.7186,0.154,nan,0.5492
152,0.6601,0.3567,nan,0.5691
153,0.6956,0.2693,nan,0.5677
154,0.7294,0.238,nan,0.582
155,0.7219,0.4113,nan,0.6287
156,0.637,0.2307,nan,0.5151
157,0.6113,0.4797,nan,0.5718
158,0.5814,0.3393,nan,0.5088
159,0.7511,0.424,nan,0.653
160,0.756,0.428,nan,0.6576
161,0.7683,0.409,nan,0.6605
162,0.7533,0.4187,nan,0.6529
163,0.7787,0.408,nan,0.6675
164,0.7557,0.4117,nan,0.6525
165,0.7563,0.3717,nan,0.6409
166,0.7964,0.377,nan,0.6706
167,0.7703,0.439,nan,0.6709
168,0.7823,0.394,nan,0.6658
169,0.769,0.468,nan,0.6787
170,0.7611,0.3913,nan,0.6502
171,0.767,0.391,nan,0.6542
172,0.7634,0.3957,nan,0.6531
173,0.766,0.408,nan,0.6586
174,0.7776,0.4067,nan,0.6663
175,0.7719,0.4367,nan,0.6713
176,0.7704,0.4023,nan,0.66
177,0.7626,0.4227,nan,0.6606
178,0.7673,0.3857,nan,0.6528
179,0.7786,0.3753,nan,0.6576
180,0.7759,0.354,nan,0.6493
181,0.7709,0.422,nan,0.6662
182,0.7751,0.3883,nan,0.6591
183,0.7759,0.361,nan,0.6514
184,0.7766,0.413,nan,0.6675
185,0.7747,0.4033,nan,0.6633
186,0.7747,0.3977,nan,0.6616
187,0.784,0.416,nan,0.6736
188,0.7697,0.399,nan,0.6585
189,0.7749,0.385,nan,0.6579
190,0.7734,0.3847,nan,0.6568
191,0.7777,0.3793,nan,0.6582
192,0.7827,0.412,nan,0.6715
193,0.7777,0.4393,nan,0.6762
194,0.7696,0.3867,nan,0.6547
195,0.7796,0.4047,nan,0.6671
196,0.7726,0.3687,nan,0.6514
197,0.7839,0.3747,nan,0.6611
198,0.7764,0.386,nan,0.6593
199,0.7739,0.3753,nan,0.6543
200,0.807,0.5773,nan,0.7381
